PD,SR,cell,Landuse
0,1,10,ForestDryPoor
0,1,13,ForestDryPoor
0,1,24,ForestDryPoor
0,1,28,ForestDryPoor
0,1,57,ForestDryPoor
0,1,88,ForestDryPoor
0,1,111,ForestDryPoor
0,1,117,ForestDryPoor
0,1,143,ForestDryPoor
0,1,282,ForestDryPoor
0,1,548,ForestDryPoor
0,1,572,ForestDryPoor
0,1,1507,ForestDryPoor
0,1,3024,ForestDryPoor
0,1,30860,ForestDryPoor
0,1,30861,ForestDryPoor
0,1,30862,ForestDryPoor
0,1,30863,ForestDryPoor
0,1,30864,ForestDryPoor
0,1,30865,ForestDryPoor
0,1,31455,ForestDryPoor
0,1,31456,ForestDryPoor
0,1,31457,ForestDryPoor
0,1,31458,ForestDryPoor
0,1,31459,ForestDryPoor
0,1,31460,ForestDryPoor
910.266457,3,31461,ForestDryPoor
1041.065216,4,31462,ForestDryPoor
1041.065216,4,31463,ForestDryPoor
1041.065216,4,31464,ForestDryPoor
0,1,31999,ForestDryPoor
0,1,32000,ForestDryPoor
0,1,32001,ForestDryPoor
0,1,32002,ForestDryPoor
0,1,32003,ForestDryPoor
0,1,32050,ForestDryPoor
0,1,32051,ForestDryPoor
0,1,32052,ForestDryPoor
0,1,32053,ForestDryPoor
0,1,32054,ForestDryPoor
0,1,32055,ForestDryPoor
1041.065216,4,32056,ForestDryPoor
1041.065216,4,32057,ForestDryPoor
1176.823281,5,32058,ForestDryPoor
1176.823281,5,32059,ForestDryPoor
1176.823281,5,32060,ForestDryPoor
1176.823281,5,32061,ForestDryPoor
1176.823281,5,32062,ForestDryPoor
1176.823281,5,32063,ForestDryPoor
0,1,32593,ForestDryPoor
0,1,32594,ForestDryPoor
0,1,32595,ForestDryPoor
0,1,32596,ForestDryPoor
247.46847399999996,2,32597,ForestDryPoor
247.46847399999996,2,32598,ForestDryPoor
247.46847399999996,2,32599,ForestDryPoor
247.46847399999996,2,32600,ForestDryPoor
247.46847399999996,2,32601,ForestDryPoor
