cell,Irr,Richness,Landuse
5e-323,0.108,1,ForestDryPoor
6.4e-323,0.108,1,ForestDryPoor
1.2e-322,0.009,1,ForestDryPoor
1.4e-322,0.009,1,ForestDryPoor
2.8e-322,0,1,ForestDryPoor
4.35e-322,0,1,ForestDryPoor
5.5e-322,0,1,ForestDryPoor
5.8e-322,0,1,ForestDryPoor
7.07e-322,0,1,ForestDryPoor
1.393e-321,0.15,1,ForestDryPoor
2.707e-321,0,1,ForestDryPoor
2.826e-321,0,1,ForestDryPoor
7.446e-321,0.007,1,ForestDryPoor
1.494e-320,0.001,1,ForestDryPoor
1.5247e-319,0.035,1,ForestDryPoor
1.52474e-319,0.035,1,ForestDryPoor
1.5248e-319,0.035,1,ForestDryPoor
1.52483e-319,0.035,1,ForestDryPoor
1.5249e-319,0.035,1,ForestDryPoor
1.52493e-319,0.035,1,ForestDryPoor
1.5541e-319,0.035,1,ForestDryPoor
1.55413e-319,0.035,1,ForestDryPoor
1.5542e-319,0.035,1,ForestDryPoor
1.55423e-319,0.035,1,ForestDryPoor
1.5543e-319,0.035,1,ForestDryPoor
1.55433e-319,0.035,1,ForestDryPoor
1.5544e-319,0.011666666666666667,3,ForestDryPoor
1.55443e-319,0.059250000000000004,4,ForestDryPoor
1.5545e-319,0.059250000000000004,4,ForestDryPoor
1.55453e-319,0.059250000000000004,4,ForestDryPoor
1.58096e-319,0.014,1,ForestDryPoor
1.581e-319,0.014,1,ForestDryPoor
1.58106e-319,0.014,1,ForestDryPoor
1.5811e-319,0.014,1,ForestDryPoor
1.58116e-319,0.014,1,ForestDryPoor
1.5835e-319,0.035,1,ForestDryPoor
1.58353e-319,0.035,1,ForestDryPoor
1.5836e-319,0.035,1,ForestDryPoor
1.58363e-319,0.035,1,ForestDryPoor
1.5837e-319,0.035,1,ForestDryPoor
1.58373e-319,0.035,1,ForestDryPoor
1.5838e-319,0.059250000000000004,4,ForestDryPoor
1.58383e-319,0.059250000000000004,4,ForestDryPoor
1.5839e-319,0.049600000000000005,5,ForestDryPoor
1.58393e-319,0.049600000000000005,5,ForestDryPoor
1.58397e-319,0.049600000000000005,5,ForestDryPoor
1.584e-319,0.049600000000000005,5,ForestDryPoor
1.58407e-319,0.049600000000000005,5,ForestDryPoor
1.5841e-319,0.049600000000000005,5,ForestDryPoor
1.6103e-319,0.014,1,ForestDryPoor
1.61036e-319,0.014,1,ForestDryPoor
1.6104e-319,0.014,1,ForestDryPoor
1.61046e-319,0.014,1,ForestDryPoor
1.6105e-319,0.007,2,ForestDryPoor
1.61056e-319,0.007,2,ForestDryPoor
1.6106e-319,0.007,2,ForestDryPoor
1.61065e-319,0.007,2,ForestDryPoor
1.6107e-319,0.007,2,ForestDryPoor
1.61075e-319,0.007,2,ForestDryPoor
1.613e-319,0.035,1,ForestDryPoor
1.61303e-319,0.035,1,ForestDryPoor
1.61307e-319,0.035,1,ForestDryPoor
1.6131e-319,0.035,1,ForestDryPoor
1.61317e-319,0.035,1,ForestDryPoor
1.6132e-319,0.059250000000000004,4,ForestDryPoor
1.61327e-319,0.049600000000000005,5,ForestDryPoor
1.6133e-319,0.049600000000000005,5,ForestDryPoor
1.61337e-319,0.049600000000000005,5,ForestDryPoor
1.6134e-319,0.049600000000000005,5,ForestDryPoor
1.61347e-319,0.049600000000000005,5,ForestDryPoor
1.6135e-319,0.049600000000000005,5,ForestDryPoor
1.61357e-319,0.049600000000000005,5,ForestDryPoor
1.6136e-319,0.049600000000000005,5,ForestDryPoor
1.61367e-319,0.049600000000000005,5,ForestDryPoor
1.6137e-319,0.049600000000000005,5,ForestDryPoor
1.6397e-319,0.014,1,ForestDryPoor
1.63975e-319,0.014,1,ForestDryPoor
1.6398e-319,0.014,1,ForestDryPoor
1.63985e-319,0.007,2,ForestDryPoor
1.6399e-319,0.007,2,ForestDryPoor
1.63995e-319,0.007,2,ForestDryPoor
1.64e-319,0.007,2,ForestDryPoor
1.64005e-319,0.007,2,ForestDryPoor
1.6401e-319,0.007,2,ForestDryPoor
1.64015e-319,0.007,2,ForestDryPoor
1.6402e-319,0.007,2,ForestDryPoor
1.64025e-319,0.007,2,ForestDryPoor
1.6403e-319,0.007,2,ForestDryPoor
1.64035e-319,0.007,2,ForestDryPoor
1.6424e-319,0.035,1,ForestDryPoor
1.64247e-319,0.035,1,ForestDryPoor
1.6425e-319,0.035,1,ForestDryPoor
1.64257e-319,0.035,1,ForestDryPoor
1.6426e-319,0.035,1,ForestDryPoor
1.64267e-319,0.023,2,ForestDryPoor
1.6427e-319,0.049600000000000005,5,ForestDryPoor
1.64277e-319,0.049600000000000005,5,ForestDryPoor
1.6428e-319,0.049600000000000005,5,ForestDryPoor
1.64287e-319,0.049600000000000005,5,ForestDryPoor
1.6429e-319,0.049600000000000005,5,ForestDryPoor
1.64297e-319,0.049600000000000005,5,ForestDryPoor
1.643e-319,0.049600000000000005,5,ForestDryPoor
1.64306e-319,0.049600000000000005,5,ForestDryPoor
1.6431e-319,0.049600000000000005,5,ForestDryPoor
1.64316e-319,0.049600000000000005,5,ForestDryPoor
1.6432e-319,0.049600000000000005,5,ForestDryPoor
1.64326e-319,0.049600000000000005,5,ForestDryPoor
1.6433e-319,0.049600000000000005,5,ForestDryPoor
1.6692e-319,0.014,1,ForestDryPoor
1.66925e-319,0.007,2,ForestDryPoor
1.6693e-319,0.007,2,ForestDryPoor
1.66935e-319,0.007,2,ForestDryPoor
1.6694e-319,0.007,2,ForestDryPoor
1.66945e-319,0.007,2,ForestDryPoor
1.6695e-319,0.007,2,ForestDryPoor
1.66955e-319,0.007,2,ForestDryPoor
1.6696e-319,0.007,2,ForestDryPoor
1.66965e-319,0.007,2,ForestDryPoor
1.6697e-319,0.007,2,ForestDryPoor
1.66974e-319,0.007,2,ForestDryPoor
1.6698e-319,0.007,2,ForestDryPoor
1.66984e-319,0.007,2,ForestDryPoor
1.6699e-319,0.007,2,ForestDryPoor
1.66994e-319,0.007,2,ForestDryPoor
1.67197e-319,0.035,1,ForestDryPoor
1.672e-319,0.035,1,ForestDryPoor
1.67207e-319,0.035,1,ForestDryPoor
1.6721e-319,0.035,1,ForestDryPoor
1.67217e-319,0.049600000000000005,5,ForestDryPoor
1.6722e-319,0.049600000000000005,5,ForestDryPoor
1.67226e-319,0.049600000000000005,5,ForestDryPoor
1.6723e-319,0.049600000000000005,5,ForestDryPoor
1.67236e-319,0.049600000000000005,5,ForestDryPoor
1.6724e-319,0.049600000000000005,5,ForestDryPoor
1.67246e-319,0.049600000000000005,5,ForestDryPoor
1.6725e-319,0.049600000000000005,5,ForestDryPoor
1.67256e-319,0.049600000000000005,5,ForestDryPoor
1.6726e-319,0.049600000000000005,5,ForestDryPoor
1.67266e-319,0.049600000000000005,5,ForestDryPoor
1.6727e-319,0.049600000000000005,5,ForestDryPoor
1.67276e-319,0.049600000000000005,5,ForestDryPoor
1.6728e-319,0.049600000000000005,5,ForestDryPoor
1.67286e-319,0.049600000000000005,5,ForestDryPoor
1.6729e-319,0.049600000000000005,5,ForestDryPoor
1.69865e-319,0.014,1,ForestDryPoor
1.6987e-319,0.014,1,ForestDryPoor
1.69875e-319,0.007,2,ForestDryPoor
1.6988e-319,0.007,2,ForestDryPoor
1.69884e-319,0.007,2,ForestDryPoor
1.6989e-319,0.007,2,ForestDryPoor
1.69894e-319,0.007,2,ForestDryPoor
1.699e-319,0.007,2,ForestDryPoor
1.69904e-319,0.007,2,ForestDryPoor
1.6991e-319,0.007,2,ForestDryPoor
1.69914e-319,0.007,2,ForestDryPoor
1.6992e-319,0.007,2,ForestDryPoor
1.69924e-319,0.007,2,ForestDryPoor
1.6993e-319,0.007,2,ForestDryPoor
1.69934e-319,0.007,2,ForestDryPoor
1.6994e-319,0.007,2,ForestDryPoor
1.69944e-319,0.007,2,ForestDryPoor
1.6995e-319,0.007,2,ForestDryPoor
1.69954e-319,0.007,2,ForestDryPoor
1.70156e-319,0.035,1,ForestDryPoor
1.7016e-319,0.023,2,ForestDryPoor
1.70166e-319,0.023,2,ForestDryPoor
1.7017e-319,0.049600000000000005,5,ForestDryPoor
1.70176e-319,0.049600000000000005,5,ForestDryPoor
1.7018e-319,0.049600000000000005,5,ForestDryPoor
1.70186e-319,0.049600000000000005,5,ForestDryPoor
1.7019e-319,0.049600000000000005,5,ForestDryPoor
1.70196e-319,0.049600000000000005,5,ForestDryPoor
1.702e-319,0.049600000000000005,5,ForestDryPoor
1.70206e-319,0.049600000000000005,5,ForestDryPoor
1.7021e-319,0.049600000000000005,5,ForestDryPoor
1.70215e-319,0.049600000000000005,5,ForestDryPoor
1.7022e-319,0.049600000000000005,5,ForestDryPoor
1.70225e-319,0.049600000000000005,5,ForestDryPoor
1.7023e-319,0.049600000000000005,5,ForestDryPoor
1.70235e-319,0.049600000000000005,5,ForestDryPoor
1.7024e-319,0.049600000000000005,5,ForestDryPoor
1.70245e-319,0.049600000000000005,5,ForestDryPoor
1.7025e-319,0.049600000000000005,5,ForestDryPoor
1.72814e-319,0.014,1,ForestDryPoor
1.7282e-319,0.014,1,ForestDryPoor
1.72824e-319,0.007,2,ForestDryPoor
1.7283e-319,0.007,2,ForestDryPoor
1.72834e-319,0.007,2,ForestDryPoor
1.7284e-319,0.007,2,ForestDryPoor
1.72844e-319,0.007,2,ForestDryPoor
1.7285e-319,0.007,2,ForestDryPoor
1.72854e-319,0.007,2,ForestDryPoor
1.7286e-319,0.007,2,ForestDryPoor
1.72864e-319,0.007,2,ForestDryPoor
1.7287e-319,0.007,2,ForestDryPoor
1.72874e-319,0.007,2,ForestDryPoor
1.7288e-319,0.007,2,ForestDryPoor
1.72883e-319,0.007,2,ForestDryPoor
1.7289e-319,0.007,2,ForestDryPoor
1.72893e-319,0.007,2,ForestDryPoor
1.729e-319,0.007,2,ForestDryPoor
1.72903e-319,0.007,2,ForestDryPoor
1.7291e-319,0.007,2,ForestDryPoor
1.72913e-319,0.007,2,ForestDryPoor
1.73116e-319,0.011,1,ForestDryPoor
1.7312e-319,0.053250000000000006,4,ForestDryPoor
1.73126e-319,0.053250000000000006,4,ForestDryPoor
1.7313e-319,0.053250000000000006,4,ForestDryPoor
1.73135e-319,0.053250000000000006,4,ForestDryPoor
1.7314e-319,0.053250000000000006,4,ForestDryPoor
1.73145e-319,0.053250000000000006,4,ForestDryPoor
1.7315e-319,0.053250000000000006,4,ForestDryPoor
1.73155e-319,0.053250000000000006,4,ForestDryPoor
1.7316e-319,0.053250000000000006,4,ForestDryPoor
1.73165e-319,0.053250000000000006,4,ForestDryPoor
1.7317e-319,0.053250000000000006,4,ForestDryPoor
1.73175e-319,0.053250000000000006,4,ForestDryPoor
1.7318e-319,0.053250000000000006,4,ForestDryPoor
1.73185e-319,0.053250000000000006,4,ForestDryPoor
1.7319e-319,0.053250000000000006,4,ForestDryPoor
1.73195e-319,0.053250000000000006,4,ForestDryPoor
1.732e-319,0.053250000000000006,4,ForestDryPoor
1.73205e-319,0.053250000000000006,4,ForestDryPoor
1.7321e-319,0.053250000000000006,4,ForestDryPoor
1.75764e-319,0.014,1,ForestDryPoor
1.7577e-319,0.007,2,ForestDryPoor
1.75774e-319,0.007,2,ForestDryPoor
1.7578e-319,0.007,2,ForestDryPoor
1.75784e-319,0.007,2,ForestDryPoor
1.7579e-319,0.007,2,ForestDryPoor
1.75793e-319,0.007,2,ForestDryPoor
1.758e-319,0.007,2,ForestDryPoor
1.75803e-319,0.007,2,ForestDryPoor
1.7581e-319,0.007,2,ForestDryPoor
1.75813e-319,0.007,2,ForestDryPoor
1.7582e-319,0.007,2,ForestDryPoor
1.75823e-319,0.007,2,ForestDryPoor
1.7583e-319,0.007,2,ForestDryPoor
1.75833e-319,0.007,2,ForestDryPoor
1.7584e-319,0.007,2,ForestDryPoor
1.75843e-319,0.007,2,ForestDryPoor
1.7585e-319,0.007,2,ForestDryPoor
1.75853e-319,0.007,2,ForestDryPoor
1.7586e-319,0.007,2,ForestDryPoor
1.75863e-319,0.007,2,ForestDryPoor
1.7587e-319,0.007,2,ForestDryPoor
1.75873e-319,0.007,2,ForestDryPoor
1.76075e-319,0.053250000000000006,4,ForestDryPoor
1.7608e-319,0.053250000000000006,4,ForestDryPoor
1.76085e-319,0.053250000000000006,4,ForestDryPoor
1.7609e-319,0.053250000000000006,4,ForestDryPoor
1.76095e-319,0.053250000000000006,4,ForestDryPoor
1.761e-319,0.053250000000000006,4,ForestDryPoor
1.76105e-319,0.053250000000000006,4,ForestDryPoor
1.7611e-319,0.053250000000000006,4,ForestDryPoor
1.76115e-319,0.053250000000000006,4,ForestDryPoor
1.7612e-319,0.053250000000000006,4,ForestDryPoor
1.76125e-319,0.053250000000000006,4,ForestDryPoor
1.7613e-319,0.053250000000000006,4,ForestDryPoor
1.76134e-319,0.053250000000000006,4,ForestDryPoor
1.7614e-319,0.053250000000000006,4,ForestDryPoor
1.76144e-319,0.053250000000000006,4,ForestDryPoor
1.7615e-319,0.053250000000000006,4,ForestDryPoor
1.76154e-319,0.053250000000000006,4,ForestDryPoor
1.7616e-319,0.053250000000000006,4,ForestDryPoor
1.76164e-319,0.053250000000000006,4,ForestDryPoor
1.7617e-319,0.053250000000000006,4,ForestDryPoor
1.7872e-319,0.014,1,ForestDryPoor
1.78723e-319,0.007,2,ForestDryPoor
1.7873e-319,0.007,2,ForestDryPoor
1.78733e-319,0.007,2,ForestDryPoor
1.7874e-319,0.007,2,ForestDryPoor
1.78743e-319,0.007,2,ForestDryPoor
1.7875e-319,0.007,2,ForestDryPoor
1.78753e-319,0.007,2,ForestDryPoor
1.7876e-319,0.007,2,ForestDryPoor
1.78763e-319,0.007,2,ForestDryPoor
1.7877e-319,0.007,2,ForestDryPoor
1.78773e-319,0.007,2,ForestDryPoor
1.7878e-319,0.007,2,ForestDryPoor
1.78783e-319,0.007,2,ForestDryPoor
1.7879e-319,0.007,2,ForestDryPoor
1.78792e-319,0.007,2,ForestDryPoor
1.78797e-319,0.007,2,ForestDryPoor
1.788e-319,0.007,2,ForestDryPoor
1.78807e-319,0.007,2,ForestDryPoor
1.7881e-319,0.007,2,ForestDryPoor
1.78817e-319,0.007,2,ForestDryPoor
1.7882e-319,0.007,2,ForestDryPoor
1.78827e-319,0.007,2,ForestDryPoor
1.7883e-319,0.007,2,ForestDryPoor
1.79035e-319,0.053250000000000006,4,ForestDryPoor
1.7904e-319,0.053250000000000006,4,ForestDryPoor
1.79044e-319,0.053250000000000006,4,ForestDryPoor
1.7905e-319,0.053250000000000006,4,ForestDryPoor
1.79054e-319,0.053250000000000006,4,ForestDryPoor
1.7906e-319,0.053250000000000006,4,ForestDryPoor
1.79064e-319,0.053250000000000006,4,ForestDryPoor
1.7907e-319,0.053250000000000006,4,ForestDryPoor
1.79074e-319,0.053250000000000006,4,ForestDryPoor
1.7908e-319,0.053250000000000006,4,ForestDryPoor
1.79084e-319,0.053250000000000006,4,ForestDryPoor
1.7909e-319,0.053250000000000006,4,ForestDryPoor
1.79094e-319,0.0036666666666666666,3,ForestDryPoor
1.791e-319,0.0036666666666666666,3,ForestDryPoor
1.79104e-319,0.0036666666666666666,3,ForestDryPoor
1.7911e-319,0.0036666666666666666,3,ForestDryPoor
1.79114e-319,0.0036666666666666666,3,ForestDryPoor
1.7912e-319,0.0036666666666666666,3,ForestDryPoor
